File Name,LOC,LLOC,SLOC,Comments,Multi,Cyclomatic Complexity,Maintainability Index,h1,h2,hN1,N2,N,Vocabulary,Volume,Difficulty,Effort,Bugs,Time
108.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
4.py,7,5,5,0,2,74.46125971657607,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
43.py,6,6,6,0,3,75.16605280182605,2,3,5,2,3,5,5,11.60964047443681,1.0,11.60964047443681,0.0038698801581456034,0.6449800263576005
25.py,15,13,13,0,4,62.72225226067195,6,4,10,6,12,18,10,59.794705707972525,9.0,538.1523513717527,0.019931568569324175,29.897352853986263
160.py,14,14,14,0,7,57.850386136309034,6,18,24,15,30,45,24,206.32331253245206,5.0,1031.6165626622603,0.06877443751081735,57.31203125901446
29.py,5,3,3,0,3,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
32.py,12,9,8,0,5,68.98191925692628,3,5,8,3,5,8,8,24.0,1.5,36.0,0.008,2.0
27.py,2,2,2,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
83.py,10,6,5,1,2,96.28122737959724,4,8,12,5,10,15,12,53.77443751081735,2.5,134.43609377704337,0.017924812503605784,7.468671876502409
78.py,3,3,3,0,3,84.44724042799471,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
24.py,5,5,5,0,3,73.54898781898997,4,5,9,4,7,11,9,34.86917501586544,2.8,97.63369004442322,0.011623058338621813,5.424093891356845
86.py,19,8,8,6,2,100.0,1,4,5,2,4,6,5,13.931568569324174,0.5,6.965784284662087,0.004643856189774725,0.3869880158145604
30.py,2,2,2,0,3,88.28848882059837,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
126.py,5,5,5,0,3,74.32675679259947,2,6,8,3,6,9,8,27.0,1.0,27.0,0.009,1.5
8.py,7,5,5,0,1,100.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
56.py,10,10,10,0,5,65.07330552638736,4,6,10,6,12,18,10,59.794705707972525,4.0,239.1788228318901,0.019931568569324175,13.28771237954945
58.py,2,2,2,0,1,88.5574946685516,1,2,3,1,2,3,3,4.754887502163469,0.5,2.3774437510817346,0.0015849625007211565,0.1320802083934297
46.py,14,12,11,0,5,63.846648940493765,4,5,9,6,10,16,9,50.718800023077,4.0,202.875200092308,0.016906266674359,11.270844449572667
18.py,12,10,10,0,3,66.10654238431758,4,6,10,5,9,14,10,46.50699332842308,3.0,139.52097998526924,0.01550233110947436,7.75116555473718
88.py,7,7,7,0,3,69.38278966011059,5,8,13,5,8,13,13,48.105716335834195,2.5,120.26429083958548,0.016035238778611398,6.681349491088082
59.py,25,24,24,0,5,51.44976431567263,9,23,32,23,46,69,32,345.0,9.0,3105.0,0.115,172.5
73.py,11,11,11,0,3,64.31603570840849,4,7,11,6,12,18,11,62.26976913547136,3.4285714285714284,213.49635132161606,0.020756589711823786,11.860908406756447
70.py,8,8,8,0,3,77.78870274027774,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
162.py,9,7,7,0,2,79.18823991017088,1,1,2,1,1,2,2,2.0,0.5,1.0,0.0006666666666666666,0.05555555555555555
